,N° Course,11,21,31,41,43,51,61,71,81,91,101,121,131,141,145,151,161,171,181,911,921
,Jour de circulation,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJV,LMaMeJV,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJV,D,D
Ville,Arrêt,,,,,,,,,,,,,,,,,,,,,
ANICHE,Azincourt,,,,,,,,,,,,,,,,,,17h50,,,
ANICHE,Delforge,06h10,06h25,06h50,,,08h00,09h20,,,,13h05,,,,,,17h10,,18h55,12h50,17h00
ANICHE,Delestraint,06h13,06h28,06h53,,,08h03,09h24,,,,13h09,,,,,,17h14,,18h58,12h53,17h03
SOMAIN,4 Chemins,06h16,06h31,06h56,,,08h06,09h26,,,,13h11,,,,,,17h16,,19h01,12h55,17h06
SOMAIN,Cité Varsovie,06h17,06h32,06h57,,,08h07,09h27,,,,13h12,,,,,,17h18,,19h02,12h56,17h07
SOMAIN,Bd Louise Michel,06h19,06h34,06h59,,,08h09,09h29,,,,13h14,,,,16h25,,17h20,,19h03,12h57,17h08
SOMAIN,Lycée Pasteur,,,,,,,,,11h15,12h15,,,15h10,16h23,,,,,,,
SOMAIN,Hôpital,06h20,06h35,07h00,,,08h10,09h30,,,,13h15,,,,16h28,,17h21,,19h04,12h58,17h09
SOMAIN,Gare,06h22,06h37,07h02,07h35,07h40,08h12,09h32,10h20,11h20,12h20,13h17,14h15,15h15,16h28,16h30,,17h22,18h05,19h07,13h01,17h12
SOMAIN,Place,06h24,06h39,07h04,07h37,07h42,08h14,09h34,10h22,11h22,12h22,13h19,14h17,15h17,16h30,16h32,,17h24,18h07,19h09,13h03,17h14
SOMAIN,Cimetière du centre,06h27,06h42,07h07,07h39,07h44,08h17,09h37,10h25,11h25,12h25,13h22,14h20,15h20,16h33,16h35,,17h27,18h10,19h12,13h06,17h17
SOMAIN,Lycée Hélène Boucher,,,,,,,,,,,,,,16h35,,,,,,,
RIEULAY,Les Sarts,,,,07h44,,,,,,,,,,,,,,,,,
RIEULAY,Place,,,,07h45,,,,,,,,,,,,,,,,,
SOMAIN,La Broucheuse,06h28,06h43,07h08,,07h45,08h18,09h38,10h26,11h26,12h26,13h23,14h21,15h21,16h36,16h36,,17h28,18h11,19h13,13h07,17h18
MARCHIENNES,La Dondaine,06h31,06h46,07h11,07h51,07h48,08h21,09h41,10h29,11h29,12h29,13h26,14h24,15h24,16h39,16h39,,17h31,18h14,19h16,13h10,17h21
MARCHIENNES,Place De Gaulle,06h33,06h49,07h14,07h53,07h50,08h24,09h44,10h32,11h32,12h32,13h29,14h27,15h27,16h42,16h42,,17h34,18h17,19h19,13h13,17h24
