
,N° Course,20,30,50,40,60,70,80,90,100,120,130,140,150,160,180,170,200,910,920
,Jour de circulation,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJV,LMaMeJVS,LMaMeJVS,LMaMeJVS,LMaMeJVS,Me,LMaMeJVS,LMaMeJV,LMaMeJVS,LMaMeJVS,LMaMeJV,LMaMeJVS,LMaMeJV,LMaMeJVS,D,D
Ville,Arrêt,,,,,,,,,,,,,,,,,,,
VILLENEUVE D ASCQ,Les Prés,,,07h40,,,09h35,,11h40,,,,15h40,16h20,17h15,17h45,,18h40,15h40,18h35
VILLENEUVE D ASCQ,4 Cantons Stade P. Mauroy,,,07h55,,,09h45,,11h55,,,,15h55,16h35,17h25,18h02,,18h55,15h55,18h50
ORCHIES,Zone de l'Europe,,,08h17,,,10h12,,12h12,,,,16h12,16h53,17h52,18h27,,19h17,16h12,19h12
ORCHIES,Collège du Pévèle,,,,,,,,,12h25,,,,,,,,,,
ORCHIES,Gare SNCF (collège N.D Providence),06h15,06h50,08h20,07h55,09h00,10h15,11h20,12h15,12h35,14h15,15h20,16h15,16h58,17h55,18h30,18h10,19h20,16h15,19h15
ORCHIES,Centre (Place De Lattre),06h17,06h52,08h22,07h57,09h02,10h17,11h22,12h17,12h37,14h17,15h22,16h17,17h00,17h57,18h32,18h12,19h22,16h17,19h17
ORCHIES,Claude Jean,06h19,06h54,08h24,07h59,09h04,10h19,11h24,12h19,12h39,14h19,15h24,16h19,17h04,17h59,18h34,18h14,19h24,16h19,19h19
ORCHIES,Route de Marchiennes,06h20,06h55,08h25,08h00,09h05,10h20,11h25,12h20,12h40,14h20,15h25,16h20,17h05,18h00,18h35,18h15,19h25,16h20,19h20
BEUVRY LA FORET,Les Arcins,06h23,06h58,08h28,08h03,09h08,10h23,11h28,12h23,12h43,14h23,15h28,16h23,17h08,18h03,18h37,18h18,19h28,16h23,19h23
BEUVRY LA FORET,Grand Mariage,06h25,07h00,08h30,08h05,09h10,10h25,11h30,12h25,12h45,14h25,15h30,16h25,17h10,18h05,18h39,18h20,19h30,16h25,19h25
BEUVRY LA FORET,Les Trois Bouteilles,06h26,07h01,08h31,08h06,09h11,10h26,11h31,12h26,12h46,14h26,15h31,16h26,17h11,18h06,18h40,18h21,19h31,16h26,19h26
MARCHIENNES,Sec Marais,06h27,07h02,08h32,08h07,09h12,10h27,11h32,12h27,12h47,14h27,15h32,16h27,17h12,18h07,18h41,18h22,19h32,16h27,19h27
BOUVIGNIES,Le Pigeonnier,,,,08h10,,,,,12h50,14h30,15h35,16h30,17h15,,18h44,,19h35,,
MARCHIENNES,Cosseterie,06h27,07h04,08h34,08h13,09h14,10h29,11h34,12h29,12h53,14h33,15h38,16h33,17h18,18h09,18h47,18h24,19h38,16h29,19h29
MARCHIENNES,Rue des Jardins,06h28,07h05,08h35,08h14,09h15,10h30,11h35,12h30,12h54,14h34,15h39,16h34,17h19,18h10,18h48,18h25,19h39,16h30,19h30
MARCHIENNES,Decours,06h29,07h06,08h36,08h15,09h16,10h31,11h36,12h31,12h55,14h35,15h40,16h35,17h20,18h11,18h50,18h26,19h40,16h31,19h31
MARCHIENNES,Place De Gaulle,06h31,07h07,08h38,08h17,09h18,10h33,11h38,12h33,12h57,14h37,15h42,16h37,17h22,18h12,18h51,18h28,19h42,16h33,19h33
MARCHIENNES,La Dondaine,06h33,07h09,08h40,08h19,09h20,10h35,11h40,12h35,12h59,14h39,15h44,16h39,17h24,18h14,18h53,18h30,19h44,16h35,19h35
SOMAIN,La Broucheuse,06h36,07h12,08h43,,09h23,10h38,11h43,12h38,13h02,14h42,15h47,16h42,17h27,18h17,18h56,,19h47,16h38,19h38
RIEULAY,Place,,,,,,,,,,,,,,,,18h36,,,
RIEULAY,Les Sarts,,,,,,,,,,,,,,,,18h37,,,
SOMAIN,Lycée Hélène Boucher,,,,08h22,,,,,,,,,,,,,,,
SOMAIN,Cimetière du centre,06h37,07h14,08h44,08h31,09h24,10h39,11h44,12h39,13h03,14h43,15h48,16h43,17h28,18h18,18h58,18h39,19h48,16h39,19h39
SOMAIN,Place,06h40,07h17,08h47,08h33,09h27,10h42,11h47,12h42,13h05,14h45,15h51,16h46,17h31,18h21,19h00,18h41,19h50,16h41,19h41
SOMAIN,Gare,06h42,07h19,08h49,08h35,09h29,10h44,11h49,12h44,13h07,14h47,15h53,16h48,17h33,18h23,19h02,18h43,19h52,16h43,19h43
SOMAIN,Hôpital,,07h22,08h51,08h37,09h31,10h46,11h51,12h46,,,,16h50,,18h25,19h05,,19h54,16h45,19h45
SOMAIN,Lycée Pasteur,,07h25,,08h39,,,,,,,,,,,,,,,
SOMAIN,Bd Louise Michel,,,08h52,,09h32,10h47,11h52,12h47,,,,16h51,,18h26,19h06,,19h55,16h46,19h46
SOMAIN,Cité Varsovie,,07h29,08h54,,,,,12h49,,,,16h53,,18h28,19h08,,19h57,16h48,19h48
SOMAIN,4 Chemins,,07h30,08h55,,,,,12h50,,,,16h54,,18h29,19h09,,19h58,16h49,19h49
ANICHE,Delestraint,,,08h58,,,,,12h53,,,,16h57,,18h32,19h12,,20h01,16h52,19h52
ANICHE,Azincourt,,07h39,,,,,,,,,,,,,,,,,
ANICHE,Delforge,,07h49,09h01,,,,,12h56,,,,17h00,,18h35,19h15,,20h04,16h55,19h55
