,Course N°,511,521,531,541,551,571,591,581,601,611,631,621,641
,Jours de circulation,MaMeJV,MaMeJV,MaMeJV,MaMeJV,MaMeJV,L,L,L,L,L,L,L,L
Ville,Arrêt,,,,,,,,,,,,,
DOUAI,Parking de la Gare SNCF,,,,,,,,,08h30,,,,
RACHES,Mairie,,,,,,,,,08h38,,,,
FLINES LEZ RACHES,Madeleine,,,,,,,,,08h45,,,,
COUTICHES,Place,,,,,,,,,08h49,,,,
SAINT AMAND LES EAUX,Lycée Couteaux,,07h10,,,,,,08h20,,,,,
SAINT AMAND LES EAUX,Eglise,,07h14,,,,,,08h24,,,,,
SAINT AMAND LES EAUX,Dunant,,07h15,,,,,,08h25,,,,,
SAINT AMAND LES EAUX,Moulin Blanc (arrêt Transvilles),,07h20,,,,,,08h30,,,,,
ROSULT,Nouveau Jeu,,07h23,,,,,,08h33,,,,,
ROSULT,Alène d'Or,,07h25,,,,,,08h35,,,,,
SARS ET ROSIERES,R.N,,07h28,,,,,,08h38,,,,,
BEUVRY LA FORET,Jean Cerisier,,07h31,,,,,,08h41,,,,,
BEUVRY LA FORET,Cimetière,,07h33,,,,,,08h43,,,,,
ORCHIES,Gendarmerie,,07h35,,,,,,08h45,,,,,
LECELLES,Eglise,,,,07h40,,,,,,08h35,,,
LECELLES,Robreux,,,,07h41,,,,,,08h36,,,
RUMEGIES,La Bascule,,,,07h45,,,,,,08h40,,,
RUMEGIES,Place,,,,07h46,,,,,,08h41,,,
RUMEGIES,Brasserie,,,,07h47,,,,,,08h42,,,
RUMEGIES,Aux 4 Vents,,,,07h48,,,,,,08h43,,,
RUMEGIES,Belzannois,,,,07h49,,,,,,08h44,,,
SAMEON,Chapelle,07h00,,,,,08h00,,,,,,,
SAMEON,Mairie,07h03,,,,,08h03,,,,,,,
SAMEON,Rue des Mazures,07h05,,,,,08h05,,,,,,,
LANDAS,Delommez,07h07,,,,,08h07,,,,,,,
LANDAS,Place Verte,07h10,,,,,08h10,,,,,,,
AIX EN PEVELE,Place,07h14,,,,,08h14,,,,,,,
AIX EN PEVELE,Mairie,07h16,,,,,08h16,,,,,,,
AIX EN PEVELE,Paul Allegot,07h18,,,,,08h18,,,,,,,
AIX EN PEVELE,Haut Hameau,07h19,,,,,08h19,,,,,,,
AIX EN PEVELE,Bas Hameau,07h20,,,,,08h20,,,,,,,
AIX EN PEVELE,Caserne des Douanes,07h23,,,,,08h23,,,,,,,
MOUCHIN,Ponchau,07h24,,,,,08h24,,,,,,,
MOUCHIN,Planard,07h25,,,,,08h25,,,,,,,
BACHY,Gare,07h31,,,,,08h31,,,,,,,
BACHY,Hôtel,07h34,,,,,08h34,,,,,,,
BACHY,Petit Canard,07h35,,,,,08h35,,,,,,,
BACHY,Poste,07h36,,,,,08h36,,,,,,,
BACHY,Eglise,07h38,,,,,08h38,,,,,,,
BOURGHELLES,La Posterie,07h43,,,,,08h43,,,,,,,
COBRIEUX,Rue du Mazet,07h45,,,,,08h45,,,,,,,
COBRIEUX,Grand Place,07h47,,,,,08h47,,,,,,,
CAPPELLE EN PEVELE,Mairie,,,07h10,,,,08h10,,,,,,
AUCHY LEZ ORCHIES,La Froidure,,,07h13,,,,08h13,,,,,,
AUCHY LEZ ORCHIES,Le Pont,,,07h14,,,,08h14,,,,,,
AUCHY LEZ ORCHIES,Rue de Derégnaucourt,,,07h19,,,,08h19,,,,,,
AUCHY LEZ ORCHIES,Rue du Hem,,,07h22,,,,08h22,,,,,,
AUCHY LEZ ORCHIES,Place,,,07h24,,,,08h24,,,,,,
ORCHIES,Gare SNCF,,07h40,,,07h50,,,,,,08h45,08h50,09h00
ORCHIES,Route de Tournai,,,,,07h52,,,,,,08h47,,
NOMAIN,Louis Guislain,,07h45,,,,,,,,,08h50,,
NOMAIN,Deffrenne,,07h46,,,,,,,,,08h51,,
NOMAIN,Saint Martin,,07h47,,,,,,,,,08h52,,
NOMAIN,L'Obeau,,,07h29,,,,08h29,,,,,,
NOMAIN,La Coquerie,,,07h31,,,,08h31,,,,,,
NOMAIN,Elmez,,,07h33,,,,08h33,,,,,,
NOMAIN,Visterie,,,07h36,,,,08h36,,,,,,
NOMAIN,Delzenne,,,07h39,,,,08h39,,,,,,
NOMAIN,Carré,,,07h41,,,,08h41,,,,,,
NOMAIN,Ouvignies,,,07h42,,,,08h42,,,,,,
CAPPELLE EN PEVELE,Huquinville,,,07h46,,,,08h46,,,,,,
TEMPLEUVE,Maresquel,,,07h50,,,,08h50,,,,,,
TEMPLEUVE,Grande Campagne,,,07h51,,,,08h52,,,,,,
TEMPLEUVE,Le Riez,,,07h53,,,,08h54,,,,,,
MOUCHIN,Place,,,,07h55,,,,,,08h50,,,
MOUCHIN,Pharmacie,,,,07h57,,,,,,08h52,,,
GENECH,La Ferme,,,,08h00,,,,,,08h55,,,
GENECH,Institut,07h57,08h00,07h57,08h05,08h09,08h57,08h58,09h05,09h15,09h00,09h05,09h05,09h15
