,Course N°,520,530,550,560,570,580,540,590,640,650,610,600,620,630
,Jours de circulation,V,V,V,V,V,V,V,LMaMeJ,LMaMeJ,LMaMeJ,LMaMeJ,LMaMeJ,LMaMeJ,LMaMeJ
Ville,Arrêt,,,,,,,,,,,,,,
GENECH,Lycée Perriand,16h05,,,,,,,,,,,,,
GENECH,Institut,16h10,16h10,16h10,16h10,16h10,16h10,,16h45,17h45,17h45,17h50,17h55,17h55,
GENECH,Lycée Perriand,,,,,,,,,,,18h05,18h05,18h05,
GENECH,La Ferme,,,,16h18,,,,,17h53,,,,,
COBRIEUX,Grand Place,16h17,,,,,,,,,,18h10,,,
COBRIEUX,Rue du Mazet,16h19,,,,,,,,,,18h12,,,
BOURGHELLES,La Posterie,16h21,,,,,,,,,,18h14,,,
BACHY,Poste,16h22,,,,,,,,,,18h15,,,
BACHY,Eglise,16h24,,,,,,,,,,18h17,,,
BACHY,Petit Canard,16h28,,,,,,,,,,,,18h20,
BACHY,Hôtel,16h29,,,,,,,,,,,,18h21,
BACHY,Gare,16h31,,,,,,,,,,,,18h22,
CYSOING,Cimetière,,,,,,,,,,,18h25,,,
CYSOING,Demesmay,,,,,,,,,,,18h26,,,
NOMAIN,Ouvignies,,,,,,,,,,,,18h10,,
NOMAIN,Carré,,,,,,,,,,,,18h11,,
NOMAIN,Delzenne,,,,,,,,,,,,18h12,,
NOMAIN,Visterie,,,,,,,,,,,,18h16,,
NOMAIN,Elmez,,,,,,,,,,,,18h18,,
NOMAIN,La Coquerie,,,,,,,,,,,,18h20,,
NOMAIN,L'Obeau,,,,,,,,,,,,18h23,,
CAPPELLE EN PEVELE,Huquinville,,,,,16h21,,,,,,,18h32,,
TEMPLEUVE,La Caillière,,,,,,,,,,,,18h35,,
TEMPLEUVE,Maresquel,,,,,,,,,,,,18h38,,
MOUCHIN,Château Vert,,,,,,,,16h49,,,,,,
NOMAIN,Saint Martin,,,,16h25,,,,16h55,18h00,,,,,
NOMAIN,Deffrenne,,,,16h26,,,,16h56,18h01,,,,,
NOMAIN,Louis Guislain,,,,16h27,,,,,18h02,,,,,
ORCHIES,Route de Tournai,,,,16h29,,,,16h59,18h04,,,,,
ORCHIES,Gare SNCF,,,16h30,16h30,,,,17h00,18h05,,,,,
MOUCHIN,Pharmacie,16h33,16h20,,,,,,,,,,,18h24,
MOUCHIN,Place,16h35,16h22,,,,,16h30,,,,,,18h26,18h35
MOUCHIN,Planard,,16h25,,,,,,,,,,,18h29,
MOUCHIN,Ponchau,,16h26,,,,,,,,,,,18h30,
AIX EN PEVELE,Caserne des Douanes,,16h27,,,,,,,,,,,18h31,
AIX EN PEVELE,Bas Hameau,,16h29,,,,,,,,,,,18h33,
AIX EN PEVELE,Haut Hameau,,16h31,,,,,,,,,,,18h35,
AIX EN PEVELE,Paul Allegot,,16h32,,,,,,,,,,,18h36,
AIX EN PEVELE,Mairie,,16h34,,,,,,,,,,,18h38,
AIX EN PEVELE,Place,,16h35,,,,,,,,,,,18h39,
LANDAS,Place Verte,,16h40,,,,,,,,,,,18h44,
LANDAS,Delommez,,16h42,,,,,,,,,,,18h46,
SAMEON,Rue des Mazures,,16h44,,,,,,,,,,,18h48,
SAMEON,Mairie,,16h47,,,,,,,,,,,18h51,
SAMEON,Chapelle,,16h50,,,,,,,,,,,18h54,
RUMEGIES,Belzannois,,,,,,,16h36,,,,,,,18h41
RUMEGIES,Aux 4 Vents,,,,,,,16h37,,,,,,,18h42
RUMEGIES,Brasserie,,,,,,,16h38,,,,,,,18h43
RUMEGIES,Place,,,,,,,16h39,,,,,,,18h44
RUMEGIES,La Bascule,,,,,,,16h40,,,,,,,18h45
LECELLES,Robreux,,,,,,,16h44,,,,,,,18h49
LECELLES,Eglise,,,,,,,16h45,,,,,,,18h50
AUCHY LEZ ORCHIES,La Froidure,,,,,16h28,,,,,18h03,,,,
AUCHY LEZ ORCHIES,Le Pont,,,,,16h29,,,,,18h04,,,,
AUCHY LEZ ORCHIES,Rue de Derégnaucourt,,,,,16h34,,,,,18h09,,,,
AUCHY LEZ ORCHIES,Rue du Hem,,,,,16h37,,,,,18h12,,,,
AUCHY LEZ ORCHIES,Place,,,,,16h39,,,,,18h14,,,,
ORCHIES,Gendarmerie,,,,,16h52,,,,,18h24,,,,
BEUVRY LA FORET,Cimetière,,,,,16h54,,,,,18h26,,,,
BEUVRY LA FORET,Jean Cerisier,,,,,16h56,,,,,18h28,,,,
SARS ET ROSIERES,R.N,,,,,16h59,,,,,18h31,,,,
ROSULT,Alène d'Or,,,,,17h02,,,,,18h34,,,,
ROSULT,Nouveau Jeu,,,,,17h04,,,,,18h36,,,,
SAINT AMAND LES EAUX,Moulin Blanc (arrêt Transvilles),,,,,17h07,,,,,18h39,,,,
SAINT AMAND LES EAUX,Dunant,,,,,17h14,,,,,18h46,,,,
SAINT AMAND LES EAUX,Eglise,,,,,17h15,,,,,18h47,,,,
SAINT AMAND LES EAUX,Lycée Couteaux,,,,,17h19,,,,,18h51,,,,
COUTICHES,Place,,,,,,16h47,,,,,,,,
FLINES LEZ RACHES,Madeleine,,,,,,16h51,,,,,,,,
RACHES,Mairie,,,,,,16h59,,,,,,,,
DOUAI,Gare,,,,,,17h10,,,,,,,,
