,N° Course,341,331,321
,Jours de circulation,LMaMeJV,LMaMeJV,LMaMeJV
Ville,Arrêt,,,
SAMEON,Mairie,07h40,,
SAMEON,Rue Bias,07h41,,
SAMEON,Rue des Mazures,07h43,,
AIX EN PEVELE,Mairie,,07h48,
AIX EN PEVELE,Place,,07h50,
ORCHIES,La Sècherie,,,07h50
LANDAS,Les Hauts Bois,,,07h53
LANDAS,Place Verte,,07h55,07h56
LANDAS,Gare,,07h58,07h59
LANDAS,Delommez,07h45,,
BEUVRY LA FORET,Cimetière,07h55,,
BEUVRY LA FORET,Varlet,07h57,,
BEUVRY LA FORET,Gare,07h59,,
BEUVRY LA FORET,Paradis,08h01,,
ORCHIES,Gendarmerie,,,08h10
ORCHIES,Stade,,,08h11
ORCHIES,Claude Jean,,,08h13
ORCHIES,Gare SNCF (collège N.D Providence),08h11,08h18,08h18
ORCHIES,Collège du Pévèle,08h18,08h25,08h25
